KES,22/03/2010 00:00:00,5,390770972,
MRU,02/03/2010 00:00:00,5,823381007,
CLP,10/05/2010 00:00:00,6,75151515,
DZD,31/05/2010 00:00:00,1,475652993,
SLL,13/09/2010 00:00:00,6,93596071,
PGK,04/01/2010 00:00:00,2,389520705,
DJF,27/09/2010 00:00:00,7,30741322,
MGB,07/05/2010 00:00:00,7,133556604,
ZAR,11/01/2010 00:00:00,0,
XDR,12/05/2010 00:00:00,0,
MMK,31/05/2010 00:00:00,6,588936746,
OMR,13/07/2010 00:00:00,1,418401182,
ZAR,15/01/2010 00:00:00,0,
DZD,17/05/2010 00:00:00,1,475652993,
COP,16/04/2010 00:00:00,6,966418684,
NIO,14/05/2010 00:00:00,1,986335576,
BOB,17/05/2010 00:00:00,7,744283199,
SZL,06/09/2010 00:00:00,0,
SLL,03/11/2010 00:00:00,6,93596071,
SBD,26/03/2010 00:00:00,2,883095086,
LSL,14/05/2010 00:00:00,7,308234334,
PGK,11/10/2010 00:00:00,2,389520705,
PGK,03/08/2010 00:00:00,2,389520705,
MRU,14/04/2010 00:00:00,5,823381007,
PHP,10/11/2010 00:00:00,2,279855728,
SAR,04/02/2010 00:00:00,7,153965116,
SAR,29/10/2010 00:00:00,7,153965116,
XPF,07/07/2010 00:00:00,0,
JPY,25/03/2010 00:00:00,5,750944018,
DJF,19/07/2010 00:00:00,7,30741322,
IRR,07/09/2010 00:00:00,2,032815695,
BOB,23/11/2010 00:00:00,7,744283199,
CAD,11/06/2010 00:00:00,7,332584023,
TRY,09/04/2010 00:00:00,0,
LBP,18/06/2010 00:00:00,1,34602803,
HTG,12/05/2010 00:00:00,3,859680772,
CLP,25/11/2010 00:00:00,6,75151515,
THB,08/02/2010 00:00:00,0,
BOB,17/03/2010 00:00:00,7,744283199,
DJF,20/10/2010 00:00:00,7,30741322,
ALL,17/03/2010 00:00:00,5,175447702,
SOS,22/09/2010 00:00:00,6,889718413,
IRR,10/02/2010 00:00:00,2,032815695,
SAR,03/09/2010 00:00:00,7,153965116,
XDR,04/02/2010 00:00:00,0,
CZK,20/01/2010 00:00:00,7,402248085,
NIO,30/08/2010 00:00:00,1,986335576,
SOS,28/07/2010 00:00:00,6,889718413,
DJF,04/06/2010 00:00:00,7,30741322,
GEL,16/04/2010 00:00:00,2,678125858,
CAD,21/06/2010 00:00:00,7,332584023,
CZK,22/10/2010 00:00:00,7,402248085,
PGK,19/07/2010 00:00:00,2,389520705,
VUV,06/05/2010 00:00:00,0,
EGP,18/11/2010 00:00:00,6,958365679,
LBP,11/06/2010 00:00:00,1,34602803,
MMK,18/11/2010 00:00:00,6,588936746,
SSP,20/04/2010 00:00:00,6,050615847,
SGD,18/08/2010 00:00:00,6,658051729,
AWG,22/10/2010 00:00:00,6,795486033,
TTD,06/08/2010 00:00:00,0,
MZN,22/04/2010 00:00:00,2,268796563,
RON,17/08/2010 00:00:00,7,054883659,
MXN,09/03/2010 00:00:00,4,467858493,
JPY,13/08/2010 00:00:00,5,750944018,
VUV,10/02/2010 00:00:00,0,
VUV,26/02/2010 00:00:00,0,
TTD,11/01/2010 00:00:00,0,
ALL,25/11/2010 00:00:00,5,175447702,
CAD,29/03/2010 00:00:00,7,332584023,
CUP,09/06/2010 00:00:00,4,752311766,
MRU,20/09/2010 00:00:00,5,823381007,
MGB,01/06/2010 00:00:00,7,133556604,
KES,15/11/2010 00:00:00,5,390770972,
CUP,13/08/2010 00:00:00,4,752311766,
SOS,27/04/2010 00:00:00,6,889718413,
TTD,09/11/2010 00:00:00,0,
XDR,04/01/2010 00:00:00,0,
ZWL,17/05/2010 00:00:00,0,
VUV,14/04/2010 00:00:00,0,
GEL,07/01/2010 00:00:00,2,678125858,
KES,25/10/2010 00:00:00,5,390770972,
XOF,04/06/2010 00:00:00,0,
VES,09/07/2010 00:00:00,0,
NIO,30/09/2010 00:00:00,1,986335576,
EGP,08/06/2010 00:00:00,6,958365679,
AWG,01/07/2010 00:00:00,6,795486033,
GIP,05/07/2010 00:00:00,1,575622737,
UGX,30/08/2010 00:00:00,0,
EUR,29/06/2010 00:00:00,6,679840028,
TRY,28/06/2010 00:00:00,0,
SBD,06/10/2010 00:00:00,2,883095086,
VES,03/05/2010 00:00:00,0,
MRO,11/01/2010 00:00:00,1,293575644,
MMK,20/10/2010 00:00:00,6,588936746,
SOS,13/05/2010 00:00:00,6,889718413,
KES,31/08/2010 00:00:00,5,390770972,
GIP,04/01/2010 00:00:00,1,575622737,
WST,02/09/2010 00:00:00,0,
EUR,19/07/2010 00:00:00,6,679840028,
WST,19/11/2010 00:00:00,0,
TRY,14/05/2010 00:00:00,0,
KMF,23/11/2010 00:00:00,4,528111458,
CZK,18/10/2010 00:00:00,7,402248085,
SSP,16/02/2010 00:00:00,6,050615847,
NIO,29/10/2010 00:00:00,1,986335576,
ALL,07/05/2010 00:00:00,5,175447702,
KMF,23/08/2010 00:00:00,4,528111458,
AFN,08/02/2010 00:00:00,5,938832581,
CAD,15/09/2010 00:00:00,7,332584023,
JPY,23/06/2010 00:00:00,5,750944018,
CVE,30/07/2010 00:00:00,2,878601074,
SSP,27/09/2010 00:00:00,6,050615847,
DZD,29/04/2010 00:00:00,1,475652993,
COP,25/11/2010 00:00:00,6,966418684,
SOS,12/07/2010 00:00:00,6,889718413,
UGX,23/02/2010 00:00:00,0,
ZWL,27/09/2010 00:00:00,0,
OMR,14/07/2010 00:00:00,1,418401182,
SOS,24/05/2010 00:00:00,6,889718413,
EGP,18/01/2010 00:00:00,6,958365679,
BYN,06/04/2010 00:00:00,1,93088454,
MMK,19/03/2010 00:00:00,6,588936746,
XAU,11/11/2010 00:00:00,0,
